Model,Clean_F1,Noisy_F1,Performance_Drop
RandomForest,0.9954517027687758,0.9864107437278169,0.009040959040958918
SVM,0.9840381050638686,0.9839948176977003,4.328736616832085e-05
KNN,0.9792832328133997,0.9747844725753194,0.004498760238080268
LogisticRegression,0.9724640256149183,0.9656330303371966,0.006830995277721685
DecisionTree,0.9794231513743707,0.9610292652071156,0.018393886167255125
LightGBM,0.9885593653244485,0.947695548185687,0.04086381713876153
XGBoost,0.9931162119865586,0.9429667633648587,0.0501494486216999
